video_id,channel_id,title,published_at,age_days,views_per_day,engagement_rate,likes_per_1k,comments_per_1k,views_per_min,title_len,emoji_cnt,question_mark_flag,duration_sec,is_short,weekday,hour,topic_primary,topic_secondary,views_per_sub
lcpWbg0jiYU,UCh9nVJoWXmFb7sLApWGcLPQ,Context Engineering Simply Explained,2025-08-15 13:30:07+00:00,13.063353115069445,1760.8036617693256,0.021867663681419,21.0416485522998,0.826015129119207,1540.3125,36,0,False,896,False,4,13,genai/llm,none,0.0167897810218978
hxfcFRvBK7I,UCh9nVJoWXmFb7sLApWGcLPQ,Software Engineer in AI Era 2025 #shorts #codebasics #ai #softwareengineer,2025-08-15 12:31:01+00:00,13.10439478173611,1000.5803563148517,0.0121262965222696,11.74496644295302,0.3813300793166565,20703.157894736843,74,0,False,38,True,4,12,general/data,none,0.009570802919708
uozBp-zx7Ng,UCh9nVJoWXmFb7sLApWGcLPQ,Gen AI Engineer Roadmap 2025 #shorts #ai #aiengineer,2025-08-14 11:05:02+00:00,14.16410542988426,720.5538006280851,0.032235939643347,32.03997648442093,0.1959631589261219,19753.548387096773,52,0,False,31,True,3,11,career/interview,none,0.0074496350364963
lQBfpDKq9nw,UCh9nVJoWXmFb7sLApWGcLPQ,Will AI replace software engineering jobs ? #shorts #data #ai #softwareengineer,2025-08-11 12:40:01+00:00,17.09814478173611,2304.869943673415,0.0192849349133446,19.132685427186683,0.1522494861579842,50309.36170212766,79,0,True,47,True,0,12,career/interview,none,0.0287656934306569
VN2vexavr5Y,UCh9nVJoWXmFb7sLApWGcLPQ,Data Analyst Bootcamp 5.0 #shorts #codebasics #data #dataanalyst #ai,2025-08-06 11:50:01+00:00,22.13286700395833,444.1358635662503,0.0106815869786368,10.579857578840285,0.1017293997965411,58980.0,68,0,False,10,True,2,11,general/data,none,0.0071751824817518
nYoIALx9wWg,UCh9nVJoWXmFb7sLApWGcLPQ,About Data Analyst Bootcamp 5.0.. (upgraded with Data Engineering Basics + AI Automation Workflows),2025-08-05 13:15:08+00:00,23.073758207662035,445.2243933365253,0.0321230409812128,23.946266913267788,8.176774067945098,393.85303514377,99,0,False,1565,False,1,13,sql,data viz,0.0074985401459854
JBGYK8b-EwE,UCh9nVJoWXmFb7sLApWGcLPQ,5 AI Use cases #codebasics #shorts #ai  #data,2025-08-04 12:30:31+00:00,24.104742003958332,908.2030413934748,0.0259455508861684,25.717156952311345,0.2283939338571167,22263.050847457627,45,0,False,59,True,0,12,general/data,none,0.0159795620437956
mBLz7pHgEAc,UCh9nVJoWXmFb7sLApWGcLPQ,Gen AI Resume Project Challenge 1 |  Winner Announcement - July 2025,2025-08-01 02:32:33+00:00,27.51999663358796,173.4738584296688,0.0196899874319229,18.852115626309175,0.8378718056137411,81.49075391180654,68,0,False,3515,False,4,2,career/interview,projects/case,0.0034846715328467
GDL1Yn9_lrM,UCh9nVJoWXmFb7sLApWGcLPQ,Dashboard Design #codebasics #shorts #data #dataanalyst #powerbi #visualization,2025-07-31 12:30:28+00:00,28.104776726180553,153.3902952512751,0.0120621665506842,11.598237067965668,0.4639294827186268,4311.0,79,0,False,60,True,3,12,data viz,none,0.0031467153284671
NDa1bir7Ylw,UCh9nVJoWXmFb7sLApWGcLPQ,Single-Person Billion-Dollar Company #shorts #codebasics #data #ai,2025-07-29 12:30:33+00:00,30.104718855810184,485.6381509498254,0.0316005471956224,31.25854993160055,0.3419972640218878,20400.0,66,0,False,43,True,1,12,general/data,none,0.0106715328467153
l1FMZUf48zI,UCh9nVJoWXmFb7sLApWGcLPQ,The Future of Software Engineering #shorts #codebasics #data #ai #lovable,2025-07-28 12:30:53+00:00,31.104487374328706,1267.437702012629,0.0215102858737285,20.97760190751592,0.532683966212617,56318.571428571435,73,0,False,42,True,0,12,general/data,none,0.0287759124087591
